IMO编号,船舶名称,船舶类型,设计航速(节),主机功率(kW),总吨位,载重吨位(DWT),所属公司ID
9775810,M/V Ocean Atlas,集装箱船,24,52000,142000,156000,CO_007
9857542,M/T Pacific Star,油轮,16.5,32500,115000,318000,CO_012
9741256,M/V Swift Wind,集装箱船,22.8,48200,138000,148500,CO_003
9863254,M/T Golden Wave,油轮,15.8,28700,98000,299000,CO_019
9723658,M/V Blue Horizon,散货船,14.2,18600,82000,180000,CO_025
9896321,M/T Arctic Sun,液化气船,17.5,35400,105000,145000,CO_038
9754896,M/V Coral Express,集装箱船,23.5,50800,145000,162000,CO_015
9832147,M/T Southern Cross,油轮,16,30200,108000,305000,CO_041
9715984,M/V Iron Duke,散货船,14.8,20100,88000,195000,CO_009
9874523,M/T Nordic Sky,化学品船,15.2,22500,78000,120000,CO_033
9763258,M/V Atlantic Voyager,集装箱船,21.5,45600,135000,150000,CO_022
9841256,M/T Baltic Pearl,油轮,16.2,31800,112000,312000,CO_005
9736985,M/V Green Forest,散货船,13.9,17200,76000,168000,CO_031
9887452,M/T Polar Spirit,液化气船,18,37500,110000,152000,CO_017
9796325,M/V Silk Road,集装箱船,22,47500,140000,155000,CO_008
9814785,M/T Red Falcon,油轮,15.5,27800,102000,290000,CO_040
9721458,M/V Granite Carrier,散货船,14.5,19300,85000,185000,CO_026
9865987,M/T Emerald Tide,化学品船,15,21600,74000,115000,CO_034
9778963,M/V Pacific Express,集装箱船,23.2,51500,143000,160000,CO_013
9852369,M/T Ocean Giant,油轮,16.8,33200,118000,325000,CO_021
9789632,M/V Eastern Dawn,集装箱船,24.2,53200,146000,165000,CO_004
9823654,M/T Silver Dolphin,油轮,15.3,27000,96000,285000,CO_027
9712548,M/V Coal Trader,散货船,14,18200,80000,175000,CO_032
9897456,M/T Northern Light,液化气船,17.8,36800,107000,148000,CO_011
9748569,M/V Yangtze River,集装箱船,21,43200,130000,142000,CO_024
9835698,M/T Desert Rose,油轮,16.4,32000,114000,310000,CO_016
9728963,M/V Iron Ore Express,散货船,13.5,16800,72000,158000,CO_036
9871236,M/T Chemical Pioneer,化学品船,14.8,20800,70000,105000,CO_039
9765987,M/V Europe Star,集装箱船,22.5,49500,141000,157000,CO_006
9847896,M/T Black Marlin,油轮,15.9,29500,99000,295000,CO_030
9732145,M/V Mineral Queen,散货船,14.3,18900,83000,182000,CO_035
9886321,M/T Arctic Princess,液化气船,17.2,34600,103000,140000,CO_020
9756324,M/V Asia Express,集装箱船,23.8,52800,144000,159000,CO_010
9812365,M/T Golden Eagle,油轮,16.1,30800,109000,302000,CO_028
9785412,M/V Bulk Pioneer,散货船,13.8,17600,77000,170000,CO_037
9869874,M/T Crystal Sea,化学品船,15.5,23200,75000,118000,CO_042
9745632,M/V Celestial,集装箱船,24.5,54000,148000,170000,CO_002
9821456,M/T Black Dolphin,油轮,15,26500,95000,280000,CO_029
9784521,M/V Iron Ore Express,散货船,13.5,16800,72000,158000,CO_036
9891236,M/T Northern Light,液化气船,17.8,36800,107000,148000,CO_011
9756324,M/V Yangtze River,集装箱船,21,43200,130000,142000,CO_024
9836987,M/T Desert Rose,油轮,16.4,32000,114000,310000,CO_016
9712358,M/V Coal Trader,散货船,14,18200,80000,175000,CO_032
9878965,M/T Chemical Pioneer,化学品船,14.8,20800,70000,105000,CO_039
9769854,M/V Europe Star,集装箱船,22.5,49500,141000,157000,CO_006
9854123,M/T Blue Whale,油轮,16.3,31500,111000,308000,CO_014
9726541,M/V Grain Master,散货船,14.1,18400,81000,178000,CO_023
9884123,M/T Polar Express,液化气船,17,34000,102000,138000,CO_001
9798563,M/V Pacific Rider,集装箱船,22.2,47000,139000,153000,CO_018
9816547,M/T Sunflower,油轮,15.7,29000,97000,292000,CO_035
9733214,M/V Ore Hunter,散货船,13.6,17000,73000,162000,CO_031
9873214,M/T Sea Sprite,化学品船,15.3,22000,73000,112000,CO_026
9764125,M/V Global Trader,集装箱船,23,50000,142500,158000,CO_009
9847563,M/T Star Voyager,油轮,16.6,32800,116000,320000,CO_022
9786321,M/V Mineral Explorer,散货船,14.6,19500,86000,188000,CO_033
9896541,M/T Gas Explorer,液化气船,17.6,36000,106000,147000,CO_005
9751236,M/V China Express,集装箱船,24.8,55000,150000,172000,CO_007
9824789,M/T Moonlight,油轮,15.4,27500,94000,278000,CO_040
9717896,M/V Bulk Champion,散货船,13.7,17400,75000,165000,CO_038
9889654,M/T Chemical Voyager,化学品船,14.5,20500,69000,102000,CO_021
9771236,M/V Atlantic Eagle,集装箱船,21.8,46500,137000,151000,CO_012
9839654,M/T Ocean Queen,油轮,16.5,32400,113000,315000,CO_019
9747896,M/V Iron Trader,散货船,14.4,19000,84000,183000,CO_028
9862145,M/T Polar Star,液化气船,18.5,38200,112000,155000,CO_013
9782145,M/V Far East,集装箱船,22.6,48500,140500,156000,CO_025
9813214,M/T Sunrise,油轮,15.6,28200,96500,288000,CO_034
9724789,M/V Coal Carrier,散货船,13.2,16500,71000,157000,CO_041
9876541,M/T Ocean Breeze,化学品船,14.9,21200,72000,110000,CO_008
9768542,M/V Mediterranean,集装箱船,23.3,51200,143500,161000,CO_015
9856987,M/T Atlantic Giant,油轮,16.7,33600,117000,322000,CO_003
9738541,M/V Mineral Spirit,散货船,14.7,19800,87000,190000,CO_017
9893214,M/T Gas Pioneer,液化气船,17.3,35200,104000,143000,CO_030
9757896,M/V Asia Star,集装箱船,24.3,53500,147000,168000,CO_010
9826541,M/T Golden Sun,油轮,15.1,26800,93000,275000,CO_023
9713214,M/V Ore Express,散货船,13.4,16700,70000,154000,CO_037
9881236,M/T Sea Explorer,化学品船,15.1,21800,76000,116000,CO_002
9773214,M/V Global Navigator,集装箱船,21.2,44800,136000,149000,CO_014
9844567,M/T Pacific Dawn,油轮,16.9,34000,119000,330000,CO_027
9787456,M/V Bulk Leader,散货船,14.9,20300,89000,198000,CO_029
9865432,M/T Arctic Trader,液化气船,18.2,37800,108000,150000,CO_004
9743215,M/V Europe Express,集装箱船,22.3,47800,139500,154000,CO_001
9831123,M/T Red Sea,油轮,15.2,27200,95500,282000,CO_031
9729876,M/V Coal Master,散货船,13.3,16600,69000,152000,CO_020
9877896,M/T Chemical Star,化学品船,14.7,20700,71000,108000,CO_016
9761123,M/V Indian Ocean,集装箱船,23.6,51800,144500,163000,CO_011
9851123,M/T Black Pearl,油轮,16,30500,110000,300000,CO_024
9781123,M/V Mineral Queen,散货船,14.3,18900,83000,182000,CO_035
9891123,M/T Gas Explorer,液化气船,17.6,36000,106000,147000,CO_005
9751123,M/V Dragon,集装箱船,24,52500,145500,164000,CO_018
9811123,M/T Silver Moon,油轮,15.8,29200,98500,296000,CO_032
9721123,M/V Ore Carrier,散货船,13.1,16400,68000,150000,CO_042
9871123,M/T Ocean Spray,化学品船,15.4,22300,77000,119000,CO_013
9762123,M/V Atlantic Queen,集装箱船,21.6,46000,137500,152000,CO_026
